Sample_Name,Strain_Alias,Heterozygosity,Introgressions,Fraction_Heterozygous_Introgressions,Phylogenetic_Clade,Main_Ancestral_pop,Main_Anc_Pop_Q,Secondary_Ancestral_Pop,Secondary_Anc_Pop_Q,used_in_ADMIXTURE,Used_in_supporting_phylogenies,Used_in_main_phylogeny,Used_in_MDSA,Reference,,,,,,,,,,,,
YMX005592,YMX005592,0.016,127,0.17,Mexican_Agave_2,6,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005593,YMX005593,0.015,125,0.18,Mexican_Agave_2,6,0.99,12,0.01,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005594,YMX005594,0.012,128,0.1,Mexican_Agave_2,6,0.87,15,0.08,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005595,YMX005595,0.014,102,0.21,Mexican_Agave_2,19,0.56,14,0.44,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005596,YMX005596,0.214,148,0.48,Mexican_Agave_2,19,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005597,YMX005597,0.048,130,0.14,Mexican_Agave_2,15,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005599,YMX005599,0.01,127,0.11,Mexican_Agave_2,23,1,3,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005600,YMX005600,0.011,124,0.09,Mexican_Agave_2,23,1,1,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005601,YMX005601,0.01,135,0.11,Mexican_Agave_2,23,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005602,YMX005602,0.011,135,0.12,Mexican_Agave_2,23,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005603,YMX005603,0.011,128,0.1,Mexican_Agave_2,23,1,13,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005604,YMX005604,0.011,132,0.11,Mexican_Agave_2,23,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005608,YMX005608,0.015,123,0.15,Mexican_Agave_2,12,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005609,YMX005609,0.015,122,0.16,Mexican_Agave_2,12,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005610,YMX005610,0.012,137,0.09,Mexican_Agave_2,23,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005611,YMX005611,0.011,137,0.1,Mexican_Agave_2,23,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005612,YMX005612,0.011,136,0.1,Mexican_Agave_2,23,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005616,YMX005616,0.184,131,0.37,Mexican_Agave_2,12,0.62,14,0.22,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005617,YMX005617,0.016,120,0.18,Mexican_Agave_2,12,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005618,YMX005618,0.015,121,0.15,Mexican_Agave_2,12,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005619,YMX005619,0.215,147,0.49,Mexican_Agave_2,19,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005620,YMX005620,0.011,130,0.1,Mexican_Agave_2,23,1,4,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005621,YMX005621,0.011,129,0.12,Mexican_Agave_2,23,1,3,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005622,YMX005622,0.011,134,0.09,Mexican_Agave_2,23,1,7,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005625,YMX005625,0.011,133,0.1,Mexican_Agave_2,23,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005626,YMX005626,0.012,136,0.1,Mexican_Agave_2,23,1,12,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005627,YMX005627,0.011,136,0.1,Mexican_Agave_2,23,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005628,YMX005628,0.011,129,0.09,Mexican_Agave_2,23,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005629,YMX005629,0.011,138,0.09,Mexican_Agave_2,23,1,3,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005630,YMX005630,0.011,133,0.08,Mexican_Agave_2,23,1,3,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005632,YMX005632,0.012,127,0.1,Mexican_Agave_2,23,1,3,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX005633,YMX005633,0.015,128,0.11,Mexican_Agave_2,23,1,10,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
L022,L022,0.51,12,0.25,8. Mixed Origin,10,1,1,0,1,1,1,1,"This study, provided by Manuel Kirchmayr and Anne Gschaedler",,,,,,,,,,,,
L023,L023,0.605,13,0.23,8. Mixed Origin,10,0.94,17,0.06,1,1,1,1,"This study, provided by Manuel Kirchmayr and Anne Gschaedler",,,,,,,,,,,,
MOC1M,MOC1M,0.028,18,0.17,Wild_North_American,0,1,5,0,1,1,1,1,"This study, provided by Manuel Kirchmayr and Anne Gschaedler",,,,,,,,,,,,
LO24,LO24,0.596,13,0.23,8. Mixed Origin,10,1,9,0,1,1,1,1,"This study, provided by Manuel Kirchmayr and Anne Gschaedler",,,,,,,,,,,,
TM15,TM15,0.144,69,0.41,Tequila_Distillery,18,1,9,0,1,1,,1,"This study, provided by Manuel Kirchmayr and Anne Gschaedler",,,,,,,,,,,,
L021,L021,0.527,13,0.23,8. Mixed Origin,10,1,9,0,1,1,1,1,"This study, provided by Manuel Kirchmayr and Anne Gschaedler",,,,,,,,,,,,
TM10,TM10,0.299,97,0.46,Tequila_Distillery,18,0.81,9,0.19,1,1,,1,"This study, provided by Manuel Kirchmayr and Anne Gschaedler",,,,,,,,,,,,
M1L1,M1L1,0.36,89,0.66,Tequila_Distillery,18,0.87,6,0.05,1,1,,0,"Quezada-Romero et al., ISA, 2016",,,,,,,,,,,,
IL4,IL4,0.259,133,0.38,Tequila_Distillery,18,0.6,6,0.14,1,1,,1,"Quezada-Romero et al., ISA, 2016",,,,,,,,,,,,
YMX005648,YMX005648,0.526,13,0.23,8. Mixed Origin,10,1,9,0,1,1,1,1,"Lopez Gallegos, 2023",,,,,,,,,,,,
YMX009814,YMX009814,0.192,121,0.44,Mexican_Agave_2,14,0.47,9,0.26,1,1,1,1,"Lopez Gallegos, 2023",,,,,,,,,,,,
YMX009815,YMX009815,0.255,111,0.55,Mexican_Agave_2,9,1,6,0,1,1,1,1,"Lopez Gallegos, 2023",,,,,,,,,,,,
YMX009816,YMX009816,0.234,153,0.41,Mexican_Agave_2,9,0.67,19,0.32,1,1,1,1,"Lopez Gallegos, 2023",,,,,,,,,,,,
YMX009821,YMX009821,0.055,135,0.14,Mexican_Agave_2,15,1,9,0,1,1,1,1,"Lopez Gallegos, 2023",,,,,,,,,,,,
YMX009823,YMX009823,0.178,259,0.59,Mexican_Agave_1,7,1,9,0,1,1,1,1,"Lopez Gallegos, 2023",,,,,,,,,,,,
YMX009824,YMX009824,0.178,258,0.65,Mexican_Agave_1,7,1,9,0,1,1,1,1,"Lopez Gallegos, 2023",,,,,,,,,,,,
YMX009825,YMX009825,0.143,151,0.37,Mexican_Agave_1,7,1,9,0,1,1,1,1,"Lopez Gallegos, 2023",,,,,,,,,,,,
YMX009826,YMX009826,0.177,267,0.66,Mexican_Agave_1,7,1,9,0,1,1,1,1,"Lopez Gallegos, 2023",,,,,,,,,,,,
94-238.1,94-238.1,0.249,73,0.7,Tequila_Distillery,18,0.77,1,0.23,1,1,,1,"Lachance, A v L, 1995",,,,,,,,,,,,
94-206.3,94-206.3,0.308,71,0.62,Tequila_Distillery,18,0.81,1,0.19,1,1,,1,"Lachance, A v L, 1995",,,,,,,,,,,,
94-208.3,94-208.3,0.288,105,0.41,Tequila_Distillery,18,0.93,6,0.04,1,1,,1,"Lachance, A v L, 1995",,,,,,,,,,,,
94-201.1,94-201.1,0.384,80,0.49,Tequila_Distillery,18,0.89,1,0.11,1,1,,1,"Lachance, A v L, 1995",,,,,,,,,,,,
92-230.2,92-230.2,0.347,93,0.6,Tequila_Distillery,18,0.8,0,0.15,1,1,,1,"Lachance, A v L, 1995",,,,,,,,,,,,
92-218.2,92-218.2,0.425,111,0.57,Tequila_Distillery,18,0.85,1,0.08,1,1,,1,"Lachance, A v L, 1995",,,,,,,,,,,,
92-221.4,92-221.4,0.339,107,0.5,Tequila_Distillery,18,0.88,1,0.12,1,1,,1,"Lachance, A v L, 1995",,,,,,,,,,,,
YMX009795,YMX009795,0.176,364,0.68,Mexican_Agave_1,7,0.97,14,0.03,1,1,1,1,"Lopez Gallegos, 2023",,,,,,,,,,,,
CPA,906,0.163,138,0.35,Mexican_Agave_2,19,0.81,14,0.11,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
BBM,908,0.014,133,0.15,Mexican_Agave_2,6,1,9,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
CPM,LCBG-3D2,0.158,136,0.38,Mexican_Agave_1,7,1,9,0,1,1,1,1,"Hernández et al., A.v.l, 2012",,,,,,,,,,,,
CPQ,LCBG-3D4,0.174,203,0.56,Mexican_Agave_1,7,1,14,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
CPI,LCBG-3D6,0.166,158,0.56,Mexican_Agave_1,7,1,9,0,1,1,1,1,"Hernández et al., A.v.l, 2012",,,,,,,,,,,,
CPN,LCBG-3Y3,0.175,270,0.67,Mexican_Agave_1,7,1,9,0,1,1,1,1,"Hernández et al., A.v.l, 2012",,,,,,,,,,,,
CPR,LCBG-3Y8,0.179,275,0.67,Mexican_Agave_1,7,1,14,0,1,1,1,1,"Hernández et al., A.v.l, 2012",,,,,,,,,,,,
CPL,LCBG-4Y3,0.169,131,0.31,Mexican_Agave_1,7,1,9,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
CPK,LCBG-Mosca3,0.166,133,0.36,Mexican_Agave_1,7,1,9,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
BDQ,CEY616,0.118,54,0.2,10. French Guiana human,2,1,9,0,1,1,1,1,"Angebault et al., JID, 2013",,,,,,,,,,,,
BDR,CEY617,0.082,52,0.21,10. French Guiana human,2,1,9,0,1,1,1,1,"Angebault et al., JID, 2013",,,,,,,,,,,,
BDS,CEY618,0.107,67,0.28,10. French Guiana human,2,1,9,0,1,1,1,1,"Angebault et al., JID, 2013",,,,,,,,,,,,
BDT,CEY619,0.098,64,0.27,10. French Guiana human,2,1,9,0,1,1,1,1,"Angebault et al., JID, 2013",,,,,,,,,,,,
BDV,CEY620,0.091,60,0.2,10. French Guiana human,2,1,9,0,1,1,1,1,"Angebault et al., JID, 2013",,,,,,,,,,,,
BEA,CEY621,0.081,49,0.24,10. French Guiana human,2,1,9,0,1,1,1,1,"Angebault et al., JID, 2013",,,,,,,,,,,,
BEB,CEY622,0.108,50,0.26,10. French Guiana human,2,1,9,0,1,1,1,1,"Angebault et al., JID, 2013",,,,,,,,,,,,
BEC,CEY623,0.086,50,0.24,10. French Guiana human,2,1,9,0,1,1,1,1,"Angebault et al., JID, 2013",,,,,,,,,,,,
BED,CEY624,0.112,56,0.2,10. French Guiana human,2,1,9,0,1,1,1,1,"Angebault et al., JID, 2013",,,,,,,,,,,,
BEE,CEY625,0.103,62,0.27,10. French Guiana human,2,1,9,0,1,1,1,1,"Angebault et al., JID, 2013",,,,,,,,,,,,
BMR,CEY646,0.07,57,0.21,10. French Guiana human,2,1,9,0,1,1,1,1,"Angebault et al., JID, 2013",,,,,,,,,,,,
CQS,CEY647,0.018,114,0.13,SAM2,22,1,6,0,1,1,,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
BMV,CEY649,0.09,50,0.14,10. French Guiana human,2,1,14,0,1,1,1,1,"Angebault et al., JID, 2013",,,,,,,,,,,,
BNA,CEY650,0.102,55,0.13,10. French Guiana human,2,1,9,0,1,1,1,1,"Angebault et al., JID, 2013",,,,,,,,,,,,
BNB,CEY651,0.107,60,0.3,10. French Guiana human,2,1,9,0,1,1,1,1,"Angebault et al., JID, 2013",,,,,,,,,,,,
BNC,CEY652,0.077,41,0.15,10. French Guiana human,2,1,9,0,1,1,1,1,"Angebault et al., JID, 2013",,,,,,,,,,,,
BND,CEY653,0.066,42,0.24,10. French Guiana human,2,1,9,0,1,1,1,1,"Angebault et al., JID, 2013",,,,,,,,,,,,
BCB,HE001,0.106,59,0.22,10. French Guiana human,2,1,9,0,1,1,1,1,"Angebault et al., JID, 2013",,,,,,,,,,,,
BCC,HE004,0.106,53,0.21,10. French Guiana human,2,1,9,0,1,1,1,1,"Angebault et al., JID, 2013",,,,,,,,,,,,
BCD,HE005,0.112,52,0.25,10. French Guiana human,2,1,9,0,1,1,1,1,"Angebault et al., JID, 2013",,,,,,,,,,,,
BCE,HE006,0.086,54,0.24,10. French Guiana human,2,1,9,0,1,1,1,1,"Angebault et al., JID, 2013",,,,,,,,,,,,
BCF,HE007,0.094,46,0.22,10. French Guiana human,2,1,6,0,1,1,1,1,"Angebault et al., JID, 2013",,,,,,,,,,,,
BCH,HE009,0.09,53,0.23,10. French Guiana human,2,1,9,0,1,1,1,1,"Angebault et al., JID, 2013",,,,,,,,,,,,
BCI,HE010,0.106,50,0.2,10. French Guiana human,2,1,9,0,1,1,1,1,"Angebault et al., JID, 2013",,,,,,,,,,,,
BCK,HE011,0.109,61,0.33,10. French Guiana human,2,1,9,0,1,1,1,1,"Angebault et al., JID, 2013",,,,,,,,,,,,
BCL,HE012,0.084,50,0.22,10. French Guiana human,2,1,9,0,1,1,1,1,"Angebault et al., JID, 2013",,,,,,,,,,,,
BCM,HE013,0.084,60,0.22,10. French Guiana human,2,1,6,0,1,1,1,1,"Angebault et al., JID, 2013",,,,,,,,,,,,
BCN,HE015,0.021,45,0.22,10. French Guiana human,2,1,9,0,1,1,1,1,"Angebault et al., JID, 2013",,,,,,,,,,,,
BCP,HE016,0.09,62,0.26,10. French Guiana human,2,1,9,0,1,1,1,1,"Angebault et al., JID, 2013",,,,,,,,,,,,
BCQ,HE020,0.086,54,0.22,10. French Guiana human,2,1,9,0,1,1,1,1,"Angebault et al., JID, 2013",,,,,,,,,,,,
CCC,CLQCA_20-156,0.035,20,0.25,SAM1,4,1,19,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
CCD,CLQCA_20-184,0.033,19,0.21,SAM1,4,1,5,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
CCE,CLQCA_20-221,0.033,19,0.21,SAM1,4,1,3,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
CCF,CLQCA_20-246,0.034,19,0.21,SAM1,4,1,3,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
CCI,CLQCA_20-248,0.034,15,0.27,SAM1,4,1,19,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
CCG,CLQCA_20-259,0.031,19,0.21,SAM1,4,1,19,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
CCH,CLQCA_20-314,0.03,19,0.21,SAM1,4,1,9,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
UFMG-CM-Y257,UFMG-CM-Y257,0.009,12,0.17,SAM1,4,1,5,0,1,1,1,1,"Barbosa et al., GBE, 2016",,,,,,,,,,,,
UFMG-CM-Y262,UFMG-CM-Y262,0.019,70,0.24,SAM1,3,1,4,0,1,1,1,1,"Barbosa et al., GBE, 2016",,,,,,,,,,,,
UFMG-CM-Y264,UFMG-CM-Y264,0.028,47,0.32,SAM1,4,1,9,0,1,1,1,1,"Barbosa et al., GBE, 2016",,,,,,,,,,,,
UFMG-CM-Y266,UFMG-CM-Y266,0.031,36,0.25,SAM1,4,1,9,0,1,1,1,1,"Barbosa et al., GBE, 2016",,,,,,,,,,,,
UFMG-CM-Y455,UFMG-CM-Y455,0.025,50,0.36,SAM1,4,1,9,0,1,1,1,1,"Barbosa et al., GBE, 2016",,,,,,,,,,,,
UFMG-CM-Y457,UFMG-CM-Y457,0.02,41,0.22,SAM1,4,0.74,3,0.26,1,1,1,1,"Barbosa et al., GBE, 2016",,,,,,,,,,,,
UFMG-CM-Y461,UFMG-CM-Y461,0.026,31,0.45,SAM1,4,0.97,0,0.03,1,1,1,1,"Barbosa et al., GBE, 2016",,,,,,,,,,,,
UFMG-CM-Y462,UFMG-CM-Y462,0.025,42,0.36,SAM1,4,0.92,3,0.08,1,1,1,1,"Barbosa et al., GBE, 2016",,,,,,,,,,,,
UFMG-CM-Y463,UFMG-CM-Y463,0.012,64,0.11,SAM1,4,0.75,3,0.25,1,1,1,1,"Barbosa et al., GBE, 2016",,,,,,,,,,,,
UFMG-CM-Y464,UFMG-CM-Y464,0.021,60,0.2,SAM1,4,0.61,3,0.39,1,1,1,1,"Barbosa et al., GBE, 2016",,,,,,,,,,,,
UFMG-CM-Y643,UFMG-CM-Y643,0.014,55,0.15,SAM1,3,1,4,0,1,1,1,1,"Barbosa et al., GBE, 2016",,,,,,,,,,,,
UFMG-CM-Y644,UFMG-CM-Y644,0.02,36,0.25,SAM1,4,1,3,0,1,1,1,1,"Barbosa et al., GBE, 2016",,,,,,,,,,,,
UFMG-CM-Y645,UFMG-CM-Y645,0.042,44,0.3,SAM1,4,1,9,0,1,1,1,1,"Barbosa et al., GBE, 2016",,,,,,,,,,,,
UFMG-CM-Y646,UFMG-CM-Y646,0.026,62,0.31,SAM1,4,1,3,0,1,1,1,1,"Barbosa et al., GBE, 2016",,,,,,,,,,,,
UFMG-CM-Y647,UFMG-CM-Y647,0.024,61,0.3,SAM1,4,1,3,0,1,1,1,1,"Barbosa et al., GBE, 2016",,,,,,,,,,,,
UFMG-CM-Y648,UFMG-CM-Y648,0.024,45,0.36,SAM1,4,1,9,0,1,1,1,1,"Barbosa et al., MBE, 2018",,,,,,,,,,,,
UFMG-CM-Y649,UFMG-CM-Y649,0.017,74,0.19,SAM1,3,1,9,0,1,1,1,1,"Barbosa et al., GBE, 2016",,,,,,,,,,,,
UFMG-CM-Y650,UFMG-CM-Y650,0.017,76,0.22,SAM1,3,1,9,0,1,1,1,1,"Barbosa et al., GBE, 2016",,,,,,,,,,,,
WL004,WL004,0.026,20,0.25,SAM1,4,1,9,0,1,1,1,1,"Gallone et al., Cell, 2016",,,,,,,,,,,,
ACC,YPS1000_1b,0.031,20,0.25,SAM1,4,1,3,0,1,1,1,1,"Schacherer et al., Nature, 2009",,,,,,,,,,,,
CMP,YPS615,0.03,20,0.25,SAM1,4,1,3,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
CMQ,YPS617,0.035,20,0.25,SAM1,4,1,21,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
ALI,CLQCA_20-060,0.161,58,0.29,SAM2,22,0.59,2,0.41,1,1,,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
ADE,PW5_b,0.014,65,0.09,SAM2,22,0.46,23,0.21,1,1,,1,"Schacherer et al., Nature, 2009",,,,,,,,,,,,
UFMG-CM-Y263,UFMG-CM-Y263,0.015,109,0.12,SAM2,22,0.89,23,0.08,1,1,,1,"Barbosa et al., GBE, 2016",,,,,,,,,,,,
UFMG-CM-Y456,UFMG-CM-Y456,0.53,90,0.62,SAM1,4,0.5,22,0.36,1,1,,1,"Barbosa et al., GBE, 2016",,,,,,,,,,,,
UFMG-CM-Y641,UFMG-CM-Y641,0.009,103,0.14,SAM2,22,1,9,0,1,1,,1,"Barbosa et al., GBE, 2016",,,,,,,,,,,,
UFMG-CM-Y642,UFMG-CM-Y642,0.009,98,0.11,SAM2,22,1,9,0,1,1,,1,"Barbosa et al., GBE, 2016",,,,,,,,,,,,
SACE_YCL,YJM1399,0.314,68,0.12,SAM2,22,0.36,13,0.25,1,1,,0,"Strope, Gen Res, 2015",,,,,,,,,,,,
AHB,CBS4734,0.027,30,0.07,SAM3,20,1,9,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
L328,L328,0.266,28,0.21,SAM3,20,0.8,1,0.19,1,1,1,1,"Legras JL et al., MBE, 2018",,,,,,,,,,,,
SP004,SP004,0.261,31,0.32,SAM3,20,0.93,1,0.07,1,1,1,1,"Gallone et al., Cell, 2016",,,,,,,,,,,,
SP006,SP006,0.03,12,0.17,SAM3,20,0.95,1,0.05,1,1,1,1,"Gallone et al., Cell, 2016",,,,,,,,,,,,
UFMG-CM-Y251,UFMG-CM-Y251,0.151,16,0.19,SAM3,20,0.87,1,0.13,1,1,1,1,"Barbosa et al., MBE, 2018",,,,,,,,,,,,
UFMG-CM-Y260,UFMG-CM-Y260,0.026,10,0.1,SAM3,20,0.81,21,0.18,1,1,1,1,"Barbosa et al., GBE, 2016",,,,,,,,,,,,
UFMG-CM-Y627,UFMG-CM-Y627,0.306,19,0.58,SAM3,20,0.92,1,0.08,1,1,1,1,"Barbosa et al., MBE, 2018",,,,,,,,,,,,
UFMG-CM-Y629,UFMG-CM-Y629,0.025,9,0.33,SAM3,20,0.93,1,0.07,1,1,1,1,"Barbosa et al., MBE, 2018",,,,,,,,,,,,
UFMG-CM-Y630,UFMG-CM-Y630,0.018,20,0.25,SAM3,20,0.92,1,0.08,1,1,1,1,"Barbosa et al., MBE, 2018",,,,,,,,,,,,
UFMG-CM-Y631,UFMG-CM-Y631,0.022,12,0.08,SAM3,20,0.9,1,0.1,1,1,1,1,"Barbosa et al., MBE, 2018",,,,,,,,,,,,
UFMG-CM-Y632,UFMG-CM-Y632,0.119,18,0.39,SAM3,20,1,5,0,1,1,1,1,"Barbosa et al., MBE, 2018",,,,,,,,,,,,
UFMG-CM-Y633,UFMG-CM-Y633,0.064,8,0.13,SAM3,20,0.87,21,0.13,1,1,1,1,"Barbosa et al., MBE, 2018",,,,,,,,,,,,
UFMG-CM-Y634,UFMG-CM-Y634,0.224,19,0.21,SAM3,20,1,3,0,1,1,1,1,"Barbosa et al., MBE, 2018",,,,,,,,,,,,
UFMG-CM-Y635,UFMG-CM-Y635,0.238,18,0.28,SAM3,20,1,9,0,1,1,1,1,"Barbosa et al., MBE, 2018",,,,,,,,,,,,
UFMG-CM-Y636,UFMG-CM-Y636,0.015,10,0.2,SAM3,20,0.91,21,0.08,1,1,1,1,"Barbosa et al., GBE, 2016",,,,,,,,,,,,
SACE_YBQ,YJM1250,0.022,19,0.16,SAM3,20,0.99,1,0.01,1,1,1,1,"Strope, Gen Res, 2015",,,,,,,,,,,,
BTC,79,0.346,15,0.07,8. Mixed Origin,10,1,21,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
CPC,997,0.421,17,0.47,M3. Mosaic region 3,21,0.41,1,0.36,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
BBQ,2162,0.033,22,0.14,4. Mediterranean oak,11,1,5,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
BBR,2163,0.035,21,0.19,Wild_North_American,0,0.76,4,0.24,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
BBS,2187,0.031,23,0.17,4. Mediterranean oak,11,1,5,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
ALP,21-4-105,0.397,11,0.09,8. Mixed Origin,10,1,20,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
ALT,21-4-122,0.02,23,0.04,1. Wine/European,1,1,9,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
CHI,646-3B,0.438,12,0.08,8. Mixed Origin,10,1,9,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
ANM,A-18,0.405,7,0,6. African beer,11,1,9,0,1,1,1,1,"Van der Aa Kühle et al., Yeast, 2001",,,,,,,,,,,,
CEN,ATCC_38618:2-2,0.044,23,0.09,M3. Mosaic region 3,1,0.43,21,0.37,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
CAS,B-17,0.014,9,0,1. Wine/European,8,1,14,0,1,1,1,1,"Capece et al., Food Micr., 2013",,,,,,,,,,,,
BAK,BJ20,0.03,19,0.21,18. Far East Asia,16,0.83,4,0.14,1,1,1,1,"Wang et al., ME, 2012",,,,,,,,,,,,
AEB,CBS1171,0.405,10,0.3,11. Ale beer,17,1,9,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AQR,CBS1190,0.099,8,0,1. Wine/European,1,1,9,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AQS,CBS1196,0.051,12,0.25,26. Asian fermentation,21,1,5,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AAL,CBS1236-a,0.396,15,0.13,8. Mixed Origin,10,0.86,1,0.14,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
ARA,CBS1239,0.386,9,0.11,M3. Mosaic region 3,17,0.52,10,0.34,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AFF,CBS1252,0.028,7,0,8. Mixed Origin,10,0.78,1,0.22,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AGE,CBS1385,0.375,12,0,8. Mixed Origin,10,1,9,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AAH,CBS1388a,0.033,42,0.1,Other,17,0.58,1,0.23,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AEI,CBS1428,0.033,8,0.13,M3. Mosaic region 3,17,0.49,21,0.45,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AHF,CBS1540,0.026,43,0.12,M1. Mosaic region 1,1,0.67,18,0.13,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
ARG,CBS1576,0.031,15,0.27,24. Asian islands,21,0.68,0,0.18,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AHG,CBS1586,0.018,11,0,1. Wine/European,1,1,5,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
